Gene Name,correlation.E-score,pvalue.E-score,adjpvalue.E-score,MME Biomarkers(Reference),Gene Name,correlation.S-score,pvalue.S-score,adjpvalue.S-score,MMS biomarkers(Reference)
PDZK1IP1,0.901170167,8.04E-24,1.27E-19,,ADAMTS6,0.904261139,3.20E-24,8.03E-20,Bueno2016(Sup.Table 2-Top50)
CCDC64,0.900401174,1.01E-23,1.27E-19,Bueno2016(Sup.Table 2-Top50),TNFSF4,0.852379397,7.93E-19,3.98E-15,Bueno2016(Sup.Table 2-Top50)
LOC100129233,0.849450137,1.38E-18,1.16E-14,,CDH13,0.844083094,3.70E-18,1.55E-14,Bueno2016(Sup.Table 2-Top50)
EFNA5,0.838035102,1.08E-17,6.76E-14,,LOXL2,0.838672129,9.63E-18,3.46E-14,Bueno2016(Sup.Table 2-Top50)
NPR1,0.833940311,2.16E-17,1.09E-13,Bueno2016(Sup.Table 2-Top50),NAV1,0.83219496,2.89E-17,8.08E-14,Bueno2016(Sup.Table 2-Top50)
RAET1E,0.830423154,3.88E-17,1.62E-13,Bueno2016(Sup.Table 2-Top50),GRAMD3,0.830649603,3.74E-17,9.39E-14,
TGM1,0.826866881,6.91E-17,2.48E-13,Bueno2016(Sup.Table 2-Top50),ALPK2,0.818731629,2.47E-16,4.44E-13,
CDON,0.825664368,8.38E-17,2.63E-13,,NDST1,0.810760328,8.10E-16,1.07E-12,
ARHGAP44,0.824056976,1.08E-16,3.02E-13,Bueno2016(Sup.Table 2-Top50),ODZ2,0.810040555,9.00E-16,1.13E-12,
EPHB6,0.822207769,1.44E-16,3.63E-13,Bueno2016(Sup.Table 2-Top50),SOGA2,0.807406541,1.31E-15,1.38E-12,
MEIS2,0.821524729,1.61E-16,3.67E-13,,ADAM19,0.801523454,3.00E-15,2.51E-12,
NRG4,0.817980099,2.77E-16,5.10E-13,Bueno2016(Sup.Table 2-Top50),PRR5L,0.785353189,2.53E-14,1.55E-11,Bueno2016(Sup.Table 2-Top50)
PARD6B,0.817814207,2.84E-16,5.10E-13,,COL5A2,0.782639606,3.56E-14,2.03E-11,Bueno2016(Sup.Table 2-Top50)
LOC100127909,0.816985436,3.22E-16,5.40E-13,,HS3ST3A1,0.780134391,4.85E-14,2.71E-11,
PLLP,0.815642774,3.94E-16,6.04E-13,Bueno2016(Sup.Table 2-Top50),WNT5B,0.777047538,7.06E-14,3.55E-11,
RERG,0.815402056,4.09E-16,6.04E-13,,NRG1,0.769520392,1.72E-13,7.88E-11,
ANXA9,0.813481804,5.44E-16,7.59E-13,Lopez-Rios2006,TGFB1,0.767384057,2.21E-13,9.73E-11,
SOX6,0.81119018,7.61E-16,1.01E-12,,PDP1,0.766991922,2.31E-13,1.00E-10,
PROCR,0.804835105,1.89E-15,2.26E-12,Bueno2016(Sup.Table 2-Top50),PDCD1LG2,0.764895349,2.93E-13,1.23E-10,
C1S,0.804281382,2.04E-15,2.33E-12,,PDLIM7,0.762703895,3.76E-13,1.55E-10,
BCO2,0.803982503,2.13E-15,2.33E-12,Bueno2016(Sup.Table 2-Top50),ZNF281,0.762066606,4.04E-13,1.64E-10,
MSLN,0.802999353,2.44E-15,2.47E-12,Bueno2016,TGFB1I1,0.759105508,5.62E-13,2.17E-10,
SLC9A3R1,0.802964322,2.46E-15,2.47E-12,Bueno2016(Sup.Table 2-Top50),AXL,0.758932741,5.72E-13,2.18E-10,
FBXO22-AS1,0.802651551,2.57E-15,2.48E-12,,DDAH1,0.757127831,6.98E-13,2.62E-10,
KLHL31,0.798625991,4.46E-15,4.00E-12,,RAB3B,0.754131015,9.67E-13,3.38E-10,
AGFG2,0.798068623,4.81E-15,4.17E-12,,FRMD6,0.753650256,1.02E-12,3.51E-10,
GALNT9,0.797672697,5.07E-15,4.17E-12,,MME,0.751366332,1.30E-12,4.27E-10,
ITLN1,0.797561229,5.15E-15,4.17E-12,Bueno2016(Sup.Table 2-Top50),RN5S385,0.750961486,1.36E-12,4.38E-10,
GAL3ST2,0.795697957,6.61E-15,5.04E-12,Bueno2016(Sup.Table 2-Top50),LOC100507286,0.750356389,1.45E-12,4.61E-10,
CFB,0.793038263,9.40E-15,6.95E-12,,ARNTL2,0.750012491,1.50E-12,4.72E-10,Bueno2016(Sup.Table 2-Top50)
INMT-FAM188B,0.792394367,1.02E-14,7.35E-12,,E2F7,0.746547638,2.16E-12,6.70E-10,
INADL,0.791317563,1.18E-14,8.23E-12,,LOC100287314,0.745934507,2.30E-12,7.06E-10,
SGPP2,0.790443961,1.32E-14,8.87E-12,,TRAM2,0.739583098,4.41E-12,1.25E-09,
CFI,0.79031808,1.34E-14,8.87E-12,,SHKBP1,0.739149384,4.61E-12,1.29E-09,
FAM176C,0.789982136,1.40E-14,9.03E-12,,DUSP10,0.737260562,5.57E-12,1.50E-09,Bueno2016(Sup.Table 2-Top50)
KLK11,0.78599867,2.33E-14,1.47E-11,Lopez-Rios2006;Bueno2016(Sup.Table 2-Top50),FAM101B,0.736057143,6.28E-12,1.66E-09,
RERG-IT1,0.785449074,2.50E-14,1.53E-11,,IL32,0.733799292,7.84E-12,1.99E-09,
NFIA,0.784496894,2.82E-14,1.69E-11,,CDCA4,0.732984355,8.50E-12,2.09E-09,
LOC553103,0.781953136,3.87E-14,2.21E-11,,CALU,0.731318832,1.00E-11,2.42E-09,
SELENBP1,0.780525713,4.62E-14,2.47E-11,Bueno2016(Sup.Table 2-Top50),TIAM2,0.730991367,1.03E-11,2.47E-09,
CARNS1,0.779652863,5.14E-14,2.69E-11,Bueno2016(Sup.Table 2-Top50),FADS3,0.729847804,1.15E-11,2.71E-09,
FLRT3,0.779250484,5.40E-14,2.74E-11,,AURKB,0.729426976,1.20E-11,2.77E-09,
COBL,0.779175263,5.45E-14,2.74E-11,Lopez-Rios2006,FBN1,0.729229861,1.22E-11,2.80E-09,Bueno2016(Sup.Table 2-Top50)
GHR,0.776077846,7.94E-14,3.84E-11,,MFAP5,0.727401061,1.46E-11,3.27E-09,
TJP3,0.770839697,1.48E-13,7.01E-11,,PORCN,0.727319208,1.47E-11,3.27E-09,
PRR15,0.770361148,1.56E-13,7.28E-11,Bueno2016(Sup.Table 2-Top50),DACT1,0.727315988,1.47E-11,3.27E-09,Bueno2016(Sup.Table 2-Top50)
TPD52L1,0.769699121,1.69E-13,7.72E-11,,GJC1,0.726994533,1.52E-11,3.34E-09,Bueno2016(Sup.Table 2-Top50)
