seqnames,start,end,Log2FC,FDR,MeanDiff,group_name
chr8,95254229,95254729,3.055145835,4.61E-42,0.829574419,C1
chr15,50429572,50430072,2.828416363,2.10E-36,0.812109498,C1
chr8,125764071,125764571,3.279019318,5.38E-31,0.606072353,C1
chr11,111410065,111410565,2.766406463,2.18E-30,0.603155307,C1
chr6,45891708,45892208,3.273799969,2.23E-30,0.63118723,C1
chr17,66377299,66377799,3.185353057,4.94E-29,0.506375781,C1
chr13,40676951,40677451,3.77378107,1.01E-26,0.554475506,C1
chr11,109948522,109949022,2.249745517,1.28E-25,0.483600106,C1
chr4,26180935,26181435,5.142687091,5.74E-25,0.43275702,C1
chr3,41012962,41013462,2.824667797,6.08E-25,0.544799189,C1
chr1,173164566,173165066,2.929990616,6.91E-25,0.465050835,C1
chr19,17887339,17887839,3.074820831,7.87E-25,0.481618675,C1
chr7,151442276,151442776,1.967369409,7.87E-25,0.557868207,C1
chr8,133930517,133931017,2.458285841,8.15E-25,0.506503859,C1
chr7,148900007,148900507,4.077076241,2.13E-24,0.472648153,C1
chr12,12735739,12736239,3.362026212,2.67E-24,0.52723464,C1
chr20,36618910,36619410,1.823881123,2.74E-24,0.644764971,C1
chr5,56612585,56613085,2.99716156,2.93E-24,0.530990059,C1
chr8,19574695,19575195,2.042371636,3.41E-24,0.56729073,C1
chr14,76028363,76028863,2.458746882,4.04E-24,0.496051087,C1
chr15,90992737,90993237,5.83536571,6.78E-24,0.349925746,C1
chr16,74970809,74971309,2.555327553,7.91E-24,0.496221046,C1
chr7,148906636,148907136,2.514373663,1.30E-23,0.58851997,C1
chr2,127758400,127758900,4.089481891,2.70E-23,0.426412813,C1
chr2,8748559,8749059,3.35921415,4.85E-23,0.464542061,C1
chr14,50459618,50460118,3.251350222,8.61E-23,0.506063995,C1
chr1,172871810,172872310,4.087220317,1.98E-22,0.384173086,C1
chr12,4085500,4086000,3.84127291,5.50E-22,0.521724496,C1
chr12,76029448,76029948,2.308457904,6.11E-22,0.538462755,C1
chr16,15603106,15603606,3.45653012,6.58E-22,0.315873583,C1
chr18,51790237,51790737,1.831441885,6.58E-22,0.486133084,C1
chr14,94461220,94461720,3.431663177,9.42E-22,0.449770168,C1
chr15,85861461,85861961,1.604789706,1.09E-21,0.553767247,C1
chr8,8426479,8426979,2.121817774,2.70E-21,0.473259108,C1
chr7,47330942,47331442,3.003655768,1.25E-20,0.447088398,C1
chr2,223678086,223678586,2.362879637,1.75E-20,0.444234345,C1
chr6,45769637,45770137,2.069745281,2.57E-20,0.45014163,C1
chr15,45174829,45175329,2.109156331,3.10E-20,0.469623652,C1
chr15,49232680,49233180,2.46507663,4.14E-20,0.482799559,C1
chr14,77769954,77770454,2.744959836,6.91E-20,0.474966716,C1
chr1,230387358,230387858,4.516943139,8.08E-20,0.320495728,C1
chr15,59560383,59560883,4.12420308,1.28E-19,0.375128856,C1
chr15,64321698,64322198,2.06943616,1.98E-19,0.42960801,C1
chr1,221974472,221974972,1.669140621,4.06E-19,0.473435479,C1
chr14,88511105,88511605,2.66772824,4.07E-19,0.327322879,C1
chr6,16956603,16957103,2.544010223,4.64E-19,0.390793224,C1
chr14,88495872,88496372,2.076879049,4.86E-19,0.420040675,C1
chr6,21264100,21264600,3.280672344,4.94E-19,0.359031841,C1
chr2,12696811,12697311,3.44471979,5.11E-19,0.444333158,C1
chr17,76151153,76151653,3.170554259,5.91E-19,0.30256934,C1
chr11,111402379,111402879,2.608368997,1.32E-18,0.403762737,C1
chr1,91992103,91992603,4.173854237,1.36E-18,0.312289441,C1
chr6,89853874,89854374,4.198953581,1.50E-18,0.31533091,C1
chr19,17886680,17887180,3.377219334,1.55E-18,0.221772697,C1
chr20,25203826,25204326,2.507142823,1.55E-18,0.351829732,C1
chr10,97518336,97518836,2.547981654,1.96E-18,0.415616914,C1
chr6,45776633,45777133,3.376107558,2.23E-18,0.2967794,C1
chr4,26143447,26143947,2.855491298,2.90E-18,0.337652158,C1
chr18,46637632,46638132,4.452693091,3.44E-18,0.279290128,C1
chr6,106243891,106244391,2.795281081,3.75E-18,0.310298068,C1
chr2,148207224,148207724,3.799353087,3.99E-18,0.317847124,C1
chr6,106068621,106069121,1.840016887,3.99E-18,0.549662813,C1
chr4,10724519,10725019,3.501524163,5.27E-18,0.368319134,C1
chr15,60211449,60211949,1.87863269,5.52E-18,0.456383562,C1
chr12,12826106,12826606,3.413809753,5.69E-18,0.362267825,C1
chr11,34183238,34183738,1.892228663,5.97E-18,0.529042804,C1
chrX,109017921,109018421,4.253770615,6.89E-18,0.293152336,C1
chr19,4840988,4841488,2.395138945,7.32E-18,0.500167942,C1
chr11,85384386,85384886,3.94647654,8.37E-18,0.31507272,C1
chr8,133932890,133933390,2.28477166,8.67E-18,0.420371188,C1
chr11,45162653,45163153,4.811285515,8.96E-18,0.319131091,C1
chr2,12694935,12695435,3.869843008,9.27E-18,0.302679152,C1
chr11,93245113,93245613,4.639470279,1.10E-17,0.369491357,C1
chr2,39719172,39719672,3.045714901,1.25E-17,0.347913348,C1
chr7,17062462,17062962,2.833411689,1.34E-17,0.355095853,C1
chr7,149137263,149137763,2.336209127,1.49E-17,0.315790476,C1
chr17,43406818,43407318,2.915224646,1.67E-17,0.376445934,C1
chr5,137001815,137002315,2.668550763,1.67E-17,0.290534957,C1
chr8,19582195,19582695,4.368242119,1.91E-17,0.314532414,C1
chr6,106047449,106047949,2.024322186,2.20E-17,0.449939394,C1
chr3,58246017,58246517,2.284307546,2.87E-17,0.362397971,C1
chr1,59942875,59943375,2.431467724,2.92E-17,0.395787072,C1
chr5,159886070,159886570,3.277448076,3.31E-17,0.382561509,C1
chr9,35848126,35848626,3.018588156,3.77E-17,0.345566213,C1
chr5,66136432,66136932,2.060688538,4.08E-17,0.381213103,C1
chr17,66345310,66345810,1.862687656,4.27E-17,0.405502892,C1
chr5,156777807,156778307,1.551185122,4.67E-17,0.35773788,C1
chr15,99864355,99864855,3.394852968,5.74E-17,0.318759641,C1
chr6,88414820,88415320,1.799765727,6.44E-17,0.429541677,C1
chr17,55540543,55541043,1.751679468,6.60E-17,0.426806129,C1
chr10,93704551,93705051,1.998233173,7.07E-17,0.465814241,C1
chr11,109870684,109871184,2.137022587,8.53E-17,0.381831233,C1
chr1,16292745,16293245,1.808379702,8.71E-17,0.444968507,C1
chr3,133167297,133167797,3.062326014,1.11E-16,0.352424433,C1
chr1,172826449,172826949,3.785851924,1.23E-16,0.316425309,C1
chr14,51798607,51799107,3.860443025,1.23E-16,0.312838056,C1
chr14,71942559,71943059,2.951609278,1.49E-16,0.335246633,C1
chr5,66326064,66326564,3.693092262,1.54E-16,0.302526193,C1
chr2,177373690,177374190,4.026252681,1.71E-16,0.36317754,C1
chr9,95393807,95394307,2.48948434,1.83E-16,0.407504046,C1
chr14,72434347,72434847,5.194157022,2.09E-16,0.218863272,C1
chr6,16524476,16524976,3.975161873,3.11E-16,0.37266411,C1
chr4,26131701,26132201,3.615205949,3.28E-16,0.294249876,C1
chr1,184899741,184900241,2.074260103,3.34E-16,0.420113042,C1
chr19,33726397,33726897,2.652038616,3.48E-16,0.300554145,C1
chr2,239347953,239348453,1.742129994,3.74E-16,0.346288551,C1
chr6,106008540,106009040,1.575076995,4.06E-16,0.292731317,C1
chr21,40351475,40351975,2.785983594,4.36E-16,0.385943179,C1
chr6,155507108,155507608,3.141541125,4.41E-16,0.402958659,C1
chr12,123131288,123131788,3.258681173,6.03E-16,0.327901549,C1
chr18,13290903,13291403,1.231218477,6.50E-16,0.407543689,C1
chr12,99147836,99148336,2.302865214,6.63E-16,0.394557407,C1
chr6,52092258,52092758,3.390194452,6.73E-16,0.300434647,C1
chr4,26036426,26036926,4.220301936,8.01E-16,0.31677293,C1
chr10,31025632,31026132,2.56652709,9.00E-16,0.314039202,C1
chr4,10672882,10673382,1.9062541,9.46E-16,0.328051302,C1
chr16,57644846,57645346,1.656607379,1.05E-15,0.293156682,C1
chr10,88638675,88639175,2.966864279,1.09E-15,0.382921982,C1
chr15,64311992,64312492,3.91438858,1.14E-15,0.32732553,C1
chr10,72416214,72416714,2.492427063,1.24E-15,0.350191139,C1
chr19,11678937,11679437,2.492835916,1.24E-15,0.420703629,C1
chr12,52702058,52702558,2.192571391,1.44E-15,0.324817355,C1
chr20,2846328,2846828,1.764689051,1.74E-15,0.367340028,C1
chr14,65769466,65769966,2.17388761,1.79E-15,0.392236583,C1
chr8,19544559,19545059,1.951656281,1.97E-15,0.336917486,C1
chr1,209925218,209925718,1.992669255,2.60E-15,0.337906831,C1
chr3,110532860,110533360,2.34611511,2.84E-15,0.333202854,C1
chr21,36767258,36767758,4.704273311,3.07E-15,0.270517649,C1
chr14,89973800,89974300,1.474125516,3.64E-15,0.486821242,C1
chr1,175483724,175484224,2.914392558,3.99E-15,0.381841541,C1
chr4,26177013,26177513,3.484590046,4.06E-15,0.286074288,C1
chr20,2846850,2847350,2.073331168,4.28E-15,0.305479781,C1
chr5,52365423,52365923,2.382426712,4.56E-15,0.429660961,C1
chr12,24992326,24992826,1.302042954,4.68E-15,0.46239344,C1
chr3,58343731,58344231,4.139020436,4.77E-15,0.304292223,C1
chr6,106630354,106630854,3.52568819,4.88E-15,0.275280144,C1
chr8,11279112,11279612,2.288142877,4.88E-15,0.374678185,C1
chr15,61080183,61080683,2.961479938,5.23E-15,0.336337051,C1
